timestamp,title,app,url,goal,mode,similarity,heuristic,confidence,label
2026-03-24T22:57:00.464898,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:01.266645,"comedy videos - YouTube - Google Chrome","chrome.exe","","learning python",deep,0.135,-20,95.0,DISTRACTION
2026-03-24T22:57:01.504927,"comedy videos - YouTube - Google Chrome","chrome.exe","","learning python",deep,0.135,-20,95.0,DISTRACTION
2026-03-24T22:57:04.301683,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:04.548901,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:15.344343,"comedy videos - YouTube - Google Chrome","chrome.exe","","learning python",deep,0.135,-20,95.0,DISTRACTION
2026-03-24T22:57:15.589623,"comedy videos - YouTube - Google Chrome","chrome.exe","","learning python",deep,0.135,-20,95.0,DISTRACTION
2026-03-24T22:57:16.621386,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:17.376266,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:24.426256,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:57:24.665258,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:57:26.458945,"","OpenWith.exe","","learning python",deep,0.048,0,50.0,WARNING
2026-03-24T22:57:26.697537,"","OpenWith.exe","","learning python",deep,0.048,0,50.0,WARNING
2026-03-24T22:57:30.524480,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:57:30.738574,"Untitled - Google Chrome","chrome.exe","","learning python",deep,0.043,0,50.0,WARNING
2026-03-24T22:57:31.559342,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:31.779189,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:37.605895,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:57:37.808720,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:57:41.639200,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:41.837843,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:48.667869,"FocusLock - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:57:48.873394,"FocusLock - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:57:49.919518,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:50.697935,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:53.730521,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","learning python",deep,0.056,0,50.0,WARNING
2026-03-24T22:57:53.949700,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","learning python",deep,0.056,0,50.0,WARNING
